"Reference code","Product ID","Product name","Quantity","Pre-tax retail price","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Combinations Impact on price (pre-tax)","Combinations (Attribute - value pair)","Combinations Impact on weight","Show price","Pre-tax wholesale price","Unit price (per)","Unit price (tax excl.)","Specific Price ID_1","Specific price Starting at (unit)_1","Specific price Group ID_1"
"A10012-2","676","Ltd Edition - Sky Sisters","2","0.00","13.25"" x 10.25""","20"" x 16""","99","","1717","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A10012-2","676","Ltd Edition - Sky Sisters","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","1718","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A10012-2","676","Ltd Edition - Sky Sisters","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","1719","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A10012-2","676","Ltd Edition - Sky Sisters","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","1720","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A10046-2","678","Ltd Edition - Geese Spirit","2","0.00","13.25"" x 10.25""","20"" x 16""","99","","1725","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A10046-2","678","Ltd Edition - Geese Spirit","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","1726","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A10046-2","678","Ltd Edition - Geese Spirit","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","1727","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A10046-2","678","Ltd Edition - Geese Spirit","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","1728","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A08045-2","680","Ltd Edition - Patience","2","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","1889","140.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A08045-2","680","Ltd Edition - Patience","0","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","1890","305.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A08045-2","680","Ltd Edition - Patience","0","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","1891","305.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A08045-2","680","Ltd Edition - Patience","0","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","1892","305.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A09006-2","683","Ltd Edition - River Keeper","4","0.00","8” x 13.5”","13.75” x 19.375”","99","","1909","155.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A09006-2","683","Ltd Edition - River Keeper","0","0.00","8” x 13.5”","13.75” x 19.375”","99","","1910","320.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A09006-2","683","Ltd Edition - River Keeper","0","0.00","8” x 13.5”","13.75” x 19.375”","99","","1911","320.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A09006-2","683","Ltd Edition - River Keeper","0","0.00","8” x 13.5”","13.75” x 19.375”","99","","1912","320.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A04039-2","685","Ltd Edition - Nostalgia","2","0.00","12"" x 12""","17.75"" x 17.875""","99","","1813","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A04039-2","685","Ltd Edition - Nostalgia","0","0.00","12"" x 12""","17.75"" x 17.875""","99","","1814","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A04039-2","685","Ltd Edition - Nostalgia","0","0.00","12"" x 12""","17.75"" x 17.875""","99","","1815","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A04039-2","685","Ltd Edition - Nostalgia","0","0.00","12"" x 12""","17.75"" x 17.875""","99","","1816","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"W12017-2","689","Ltd Edition - Synchronicity","3","0.00","10.25"" x 13.25""","16"" x 20""","99","","1629","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"W12017-2","689","Ltd Edition - Synchronicity","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1630","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"W12017-2","689","Ltd Edition - Synchronicity","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1631","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"W12017-2","689","Ltd Edition - Synchronicity","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1632","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
