"Reference code","Product ID","Product name","Product Combinations ID","Quantity","Final price (pre-tax)"
"FDBROACHES","12806","Broaches","9678","16","18.00"
"FDBROACHES","12806","Broaches","9679","49","24.00"
"FDBROACHES","12806","Broaches","9680","10","26.00"
"FDMONEYCLIP","12808","Money Clip","","15","26.00"
"FDOPENERS","12809","Letter Openers","9702","2","24.00"
"FDOPENERS","12809","Letter Openers","9703","4","28.00"
"FDKEYRING","12813","Key Ring","","9","18.00"
"FDNECKLACE","12814","Necklaces","9687","57","21.00"
"FDNECKLACE","12814","Necklaces","9688","70","20.00"
"FDNECKLACE","12814","Necklaces","9690","11","22.00"
"FDNECKLACE","12814","Necklaces","9696","76","22.00"
"FDNECKLACE","12814","Necklaces","9697","31","24.00"
"FDNECKLACE","12814","Necklaces","9698","25","24.00"
"FDNECKLACE","12814","Necklaces","9699","15","26.00"
"Heart Red","12815","Pin - ""Red Heart""","9700","13","34.00"
"Heart Red","12815","Pin - ""Red Heart""","9701","9","28.00"
"FDTIEPINS","12820","Tie Pins","","4","22.00"
"Keewatin1","12832","New Collection Necklace","","10","34.50"
"Keewatin2","12833","Colored Necklace","","26","32.00"
"Keewatin3","12834","Short Necklace","","5","29.00"
"Keewatin4","12835","Simple Bracelet","","68","18.00"
"Keewatin7","12838","Set of 3","","8","60.00"
"Keewatin9","12840","Santon Broach","","6","18.00"
"Braided Bracelet","12844","Braided Leather Bracelet","","24","26.00"
"Leather Bracelet","12845","Leather Bracelet","","6","20.00"
"FDCARDHOLDER","12900","Business Card Holder","","6","28.00"
"DC13","12931","DC13 Earrings","","6","20.95"
"DC11","12932","DC11 Earrings","","4","20.95"
"DC19","12934","DC17 Earrings","","10","19.95"
"DC20","12935","DC20 Earrings","","2","36.95"
"DC13-P","12940","DC13 Pendant","","11","13.95"
"DC11-P","12941","DC11 Pendant","","8","13.95"
"DC20-P","12943","DC20 Pendant","","3","20.95"
"DC21-P","12945","DC21 Pendant","","5","20.95"
"DC19-P","12948","DC19 Pendant","","12","12.95"
"BR32","12950","BR32 Hair accessories","","16","6.95"
