"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Unit price (tax excl.)","Unit price (per)"
"4172-0500-40-41474EMA","15389","Leather Moccasins for Men","11398","Shoe Size - 9","0","202.00","87.40","0.00",""
"4172-0500-40-41474EMA","15389","Leather Moccasins for Men","11399","Shoe Size - 10","2","202.00","87.40","0.00",""
"4172-0500-40-41474EMA","15389","Leather Moccasins for Men","11400","Shoe Size - 11","0","202.00","87.40","0.00",""
"4172-0500-40-41474EMA","15389","Leather Moccasins for Men","11401","Shoe Size - 12","1","202.00","87.40","0.00",""
"4172-0500-40-41474EMA","15389","Leather Moccasins for Men","11402","Shoe Size - 13","0","202.00","87.40","0.00",""
"4172-0500-40-41474EMA","15389","Leather Moccasins for Men","11403","Shoe Size - 14","0","202.00","87.40","0.00",""
"4172-0500-40-41474EMA","15389","Leather Moccasins for Men","11404","Shoe Size - 15","0","202.00","87.40","0.00",""
"5000-0000-27-78GRBL","15404","Suede Moccasins for Men","11415","Shoe Size - 6","0","98.00","42.60","0.00",""
"5000-0000-27-78GRBL","15404","Suede Moccasins for Men","11416","Shoe Size - 7","1","98.00","42.60","0.00",""
"5000-0000-27-78GRBL","15404","Suede Moccasins for Men","11417","Shoe Size - 8","0","98.00","42.60","0.00",""
"5000-0000-27-78GRBL","15404","Suede Moccasins for Men","11418","Shoe Size - 9","0","98.00","42.60","0.00",""
"5000-0000-27-78GRBL","15404","Suede Moccasins for Men","11419","Shoe Size - 10","0","98.00","42.60","0.00",""
"5000-0000-27-78GRBL","15404","Suede Moccasins for Men","11420","Shoe Size - 11","0","98.00","42.60","0.00",""
"5000-0000-27-78GRBL","15404","Suede Moccasins for Men","11421","Shoe Size - 12","0","98.00","42.60","0.00",""
"5000-0000-27-78GRBL","15404","Suede Moccasins for Men","11422","Shoe Size - 13","0","98.00","42.60","0.00",""
"5000-0000-27-78GRBL","15404","Suede Moccasins for Men","11423","Shoe Size - 14","2","98.00","42.60","0.00",""
"5000-0000-27-78GRBL","15404","Suede Moccasins for Men","11424","Shoe Size - 15","0","98.00","42.60","0.00",""
"5076-1100-35-KB705MA","15422","Leather Moccasins for Men","11516","Shoe Size - 6","0","177.00","76.90","0.00",""
"5076-1100-35-KB705MA","15422","Leather Moccasins for Men","11517","Shoe Size - 7","1","177.00","76.90","0.00",""
"5076-1100-35-KB705MA","15422","Leather Moccasins for Men","11518","Shoe Size - 8","0","177.00","76.90","0.00",""
"5076-1100-35-KB705MA","15422","Leather Moccasins for Men","11519","Shoe Size - 9","1","177.00","76.90","0.00",""
"5076-1100-35-KB705MA","15422","Leather Moccasins for Men","11520","Shoe Size - 10","0","177.00","76.90","0.00",""
"5076-1100-35-KB705MA","15422","Leather Moccasins for Men","11521","Shoe Size - 11","0","177.00","76.90","0.00",""
"5076-1100-35-KB705MA","15422","Leather Moccasins for Men","11522","Shoe Size - 12","0","177.00","76.90","0.00",""
"5076-1100-35-KB705MA","15422","Leather Moccasins for Men","11523","Shoe Size - 13","0","177.00","76.90","0.00",""
"5076-1100-35-KB705MA","15422","Leather Moccasins for Men","11524","Shoe Size - 14","0","177.00","76.90","0.00",""
"5076-1100-35-KB705MA","15422","Leather Moccasins for Men","11525","Shoe Size - 15","0","177.00","76.90","0.00",""
"5076-1100-26-KB757FD","15438","Leather Moccasins for Men","11595","Shoe Size - 6","0","175.00","75.80","0.00",""
"5076-1100-26-KB757FD","15438","Leather Moccasins for Men","11596","Shoe Size - 7","0","175.00","75.80","0.00",""
"5076-1100-26-KB757FD","15438","Leather Moccasins for Men","11597","Shoe Size - 8","0","175.00","75.80","0.00",""
"5076-1100-26-KB757FD","15438","Leather Moccasins for Men","11598","Shoe Size - 9","0","175.00","75.80","0.00",""
"5076-1100-26-KB757FD","15438","Leather Moccasins for Men","11599","Shoe Size - 10","0","175.00","75.80","0.00",""
"5076-1100-26-KB757FD","15438","Leather Moccasins for Men","11600","Shoe Size - 11","0","175.00","75.80","0.00",""
