"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Pre-tax retail price","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","11_FEATURE_Approx. size framed","5_FEATURE_Compositions"
"A16051-2","707","Ltd Edition - Northern Keepers","1523","Frame Options - Brown rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A16051-2","707","Ltd Edition - Northern Keepers","1524","Frame Options - Grey rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A16058-2","709","Ltd Edition - Silent Seekers","1881","Frame Options - Without frame ","3","0.00","13.5” x 6.75”","19.25” x 12.625”","99","","21"" x 14.375""",""
"A16058-2","709","Ltd Edition - Silent Seekers","1882","Frame Options - Black rustic frame 1""","0","0.00","13.5” x 6.75”","19.25” x 12.625”","99","","21"" x 14.375""",""
"A16058-2","709","Ltd Edition - Silent Seekers","1883","Frame Options - Brown rustic frame 1""","0","0.00","13.5” x 6.75”","19.25” x 12.625”","99","","21"" x 14.375""",""
"A16058-2","709","Ltd Edition - Silent Seekers","1884","Frame Options - Grey rustic frame 1""","0","0.00","13.5” x 6.75”","19.25” x 12.625”","99","","21"" x 14.375""",""
"A95053-2","711","Ltd Edition - Messenger","1893","Frame Options - Without frame ","4","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","14.25"" x 21.125""",""
"A95053-2","711","Ltd Edition - Messenger","1894","Frame Options - Black rustic frame 1""","0","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","14.25"" x 21.125""",""
"A95053-2","711","Ltd Edition - Messenger","1895","Frame Options - Brown rustic frame 1""","0","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","14.25"" x 21.125""",""
"A95053-2","711","Ltd Edition - Messenger","1896","Frame Options - Grey rustic frame 1""","0","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","14.25"" x 21.125""",""
"A14051-2","712","Ltd Edition - Gezaluwejit","1529","Frame Options - Without frame ","2","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A14051-2","712","Ltd Edition - Gezaluwejit","1530","Frame Options - Black rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A14051-2","712","Ltd Edition - Gezaluwejit","1531","Frame Options - Brown rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A14051-2","712","Ltd Edition - Gezaluwejit","1532","Frame Options - Grey rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"W13047-2","714","Ltd Edition - Inner Memories","1753","Frame Options - Without frame ","5","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"W13047-2","714","Ltd Edition - Inner Memories","1754","Frame Options - Black rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"W13047-2","714","Ltd Edition - Inner Memories","1755","Frame Options - Brown rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"W13047-2","714","Ltd Edition - Inner Memories","1756","Frame Options - Grey rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A01038-2","719","Ltd Edition - Harmony","1930","Frame Options - Without frame ","2","0.00","13.25"" x 10.25""","20"" x 16""","99","","",""
"A01038-2","719","Ltd Edition - Harmony","1931","Frame Options - Black rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","",""
"A01038-2","719","Ltd Edition - Harmony","1932","Frame Options - Brown rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","",""
"A01038-2","719","Ltd Edition - Harmony","1933","Frame Options - Grey rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","",""
"A13042-2","721","Ltd Edition - Carried Away","1897","Frame Options - Without frame ","2","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","14.25"" x 21.125""",""
