"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price","Pre-tax retail price"
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3736","Shoe Size - 7","2","98.00","42.60","0.00","98.00"
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3737","Shoe Size - 8","0","98.00","42.60","0.00","98.00"
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3738","Shoe Size - 9","0","98.00","42.60","0.00","98.00"
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3739","Shoe Size - 10","0","98.00","42.60","0.00","98.00"
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3740","Shoe Size - 11","0","98.00","42.60","0.00","98.00"
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3741","Shoe Size - 12","1","98.00","42.60","0.00","98.00"
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3742","Shoe Size - 13","0","98.00","42.60","0.00","98.00"
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","7304","Shoe Size - 14","0","98.00","42.60","0.00","98.00"
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","7305","Shoe Size - 15","0","98.00","42.60","0.00","98.00"
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3755","Shoe Size - 6","0","98.00","42.60","0.00","98.00"
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3756","Shoe Size - 7","0","98.00","42.60","0.00","98.00"
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3757","Shoe Size - 8","0","98.00","42.60","0.00","98.00"
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3758","Shoe Size - 9","0","98.00","42.60","0.00","98.00"
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3759","Shoe Size - 10","0","98.00","42.60","0.00","98.00"
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3760","Shoe Size - 11","0","98.00","42.60","0.00","98.00"
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3761","Shoe Size - 12","0","98.00","42.60","0.00","98.00"
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3762","Shoe Size - 13","0","98.00","42.60","0.00","98.00"
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3763","Shoe Size - 14","1","98.00","42.60","0.00","98.00"
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3764","Shoe Size - 15","0","98.00","42.60","0.00","98.00"
"3700-0970-24-37599CKRK","1116","Conchos for Men","3843","Shoe Size - 8","0","210.00","90.10","0.00","210.00"
"3700-0970-24-37599CKRK","1116","Conchos for Men","7540","Shoe Size - 7","0","210.00","90.10","0.00","210.00"
"3700-0970-24-37599CKRK","1116","Conchos for Men","7541","Shoe Size - 9","0","210.00","90.10","0.00","210.00"
"3700-0970-24-37599CKRK","1116","Conchos for Men","7542","Shoe Size - 10","0","210.00","90.10","0.00","210.00"
"3700-0970-24-37599CKRK","1116","Conchos for Men","7543","Shoe Size - 11","0","210.00","90.10","0.00","210.00"
"3700-0970-24-37599CKRK","1116","Conchos for Men","7544","Shoe Size - 12","0","210.00","90.10","0.00","210.00"
"3700-0970-24-37599CKRK","1116","Conchos for Men","7545","Shoe Size - 13","0","210.00","90.10","0.00","210.00"
"3700-0970-24-37599CKRK","1116","Conchos for Men","7546","Shoe Size - 14","0","210.00","90.10","0.00","210.00"
"3700-0970-24-37599CKRK","1116","Conchos for Men","7547","Shoe Size - 15","0","210.00","90.10","0.00","210.00"
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6123","Shoe Size - 6","0","99.95","43.40","0.00","99.95"
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6124","Shoe Size - 7","0","99.95","43.40","0.00","99.95"
