"Product ID","Product Combinations ID","Show price","Pre-tax wholesale price","Pre-tax retail price","Final price (pre-tax)","Retail price with tax","Final price (with-tax)","Quantity"
"792","1774","1","0.00","0.00","335.00","0.00","385.17","0"
"792","1775","1","0.00","0.00","335.00","0.00","385.17","0"
"792","1776","1","0.00","0.00","335.00","0.00","385.17","0"
"793","1849","1","0.00","0.00","445.00","0.00","511.64","1"
"793","1850","1","0.00","0.00","545.00","0.00","626.62","0"
"793","1851","1","0.00","0.00","545.00","0.00","626.62","0"
"793","1852","1","0.00","0.00","545.00","0.00","626.62","0"
"794","1869","1","0.00","0.00","235.00","0.00","270.19","2"
"794","1870","1","0.00","0.00","315.00","0.00","362.17","0"
"794","1871","1","0.00","0.00","315.00","0.00","362.17","0"
"794","1872","1","0.00","0.00","315.00","0.00","362.17","0"
"795","1509","1","0.00","0.00","345.00","0.00","396.67","0"
"795","1510","1","0.00","0.00","345.00","0.00","396.67","0"
"795","1511","1","0.00","0.00","345.00","0.00","396.67","0"
"795","1512","1","0.00","0.00","295.00","0.00","339.18","0"
"795","6668","1","0.00","0.00","495.00","0.00","569.13","1"
"797","","1","2.50","5.50","5.50","6.32","6.32","0"
"798","","1","2.50","5.50","5.50","6.32","6.32","7"
"799","","1","2.75","6.35","6.35","7.30","7.30","7"
"800","","1","10.87","25.00","25.00","28.74","28.74","0"
"801","1316","1","0.00","0.00","335.00","0.00","385.17","0"
"801","1317","1","0.00","0.00","335.00","0.00","385.17","0"
"801","1318","1","0.00","0.00","335.00","0.00","385.17","1"
"801","1319","1","0.00","0.00","170.00","0.00","195.46","0"
"4079","7699","1","0.00","0.00","170.00","0.00","195.46","2"
"4079","7700","1","0.00","0.00","335.00","0.00","385.17","0"
"4079","7701","1","0.00","0.00","335.00","0.00","385.17","0"
"4079","7702","1","0.00","0.00","335.00","0.00","385.17","0"
"4080","","1","2.75","6.35","6.35","7.30","7.30","7"
"4081","","1","10.87","25.00","25.00","28.74","28.74","4"
"4082","7703","1","0.00","0.00","335.00","0.00","385.17","0"
"4082","7704","1","0.00","0.00","335.00","0.00","385.17","0"
"4082","7705","1","0.00","0.00","335.00","0.00","385.17","0"
"4082","7706","1","0.00","0.00","170.00","0.00","195.46","2"
"4083","","1","2.50","5.50","5.50","6.32","6.32","1"
"4086","7718","1","0.00","0.00","325.00","0.00","373.67","0"
"4086","7720","1","0.00","0.00","425.00","0.00","488.65","0"
"4086","7721","1","0.00","0.00","425.00","0.00","488.65","0"
"4086","7722","1","0.00","0.00","425.00","0.00","488.65","0"
"4088","","1","10.87","25.00","25.00","25.00","25.00","12"
