"Product name","Reference code","Product ID","Combinations (Attribute - value pair)","Product Combinations ID","Pre-tax wholesale price","Pre-tax retail price","Retail price with tax","Quantity"
"Ltd Edition - Passing Through","A04060-2","700","Édition Ltée - Traversée : Options d'encadrement - Sans cadre","1817","0.00","0.00","0.00","1"
"Ltd Edition - Passing Through","A04060-2","700","Édition Ltée - Traversée : Options d'encadrement - Cadre rustique noir 1""","1818","0.00","0.00","0.00","0"
"Ltd Edition - Passing Through","A04060-2","700","Édition Ltée - Traversée : Options d'encadrement - Cadre rustique brun 1""","1819","0.00","0.00","0.00","0"
"Ltd Edition - Passing Through","A04060-2","700","Édition Ltée - Traversée : Options d'encadrement - Cadre rustique gris 1""","1820","0.00","0.00","0.00","0"
"Ltd Edition - Tranquility","A09054-2","701","Édition Ltée - Tranquillité : Options d'encadrement - Sans cadre","1645","0.00","0.00","0.00","2"
"Ltd Edition - Tranquility","A09054-2","701","Édition Ltée - Tranquillité : Options d'encadrement - Cadre rustique noir 1""","1646","0.00","0.00","0.00","0"
"Ltd Edition - Tranquility","A09054-2","701","Édition Ltée - Tranquillité : Options d'encadrement - Cadre rustique brun 1""","1647","0.00","0.00","0.00","0"
"Ltd Edition - Tranquility","A09054-2","701","Édition Ltée - Tranquillité : Options d'encadrement - Cadre rustique gris 1""","1648","0.00","0.00","0.00","0"
"Ltd Edition - Abundance","A16055-2","702","Édition Ltée - Abondance : Options d'encadrement - Sans cadre","1649","0.00","0.00","0.00","2"
"Ltd Edition - Abundance","A16055-2","702","Édition Ltée - Abondance : Options d'encadrement - Cadre rustique brun 1""","1650","0.00","0.00","0.00","0"
"Ltd Edition - Abundance","A16055-2","702","Édition Ltée - Abondance : Options d'encadrement - Cadre rustique noir 1""","1651","0.00","0.00","0.00","0"
"Ltd Edition - Abundance","A16055-2","702","Édition Ltée - Abondance : Options d'encadrement - Cadre rustique gris 1""","1652","0.00","0.00","0.00","0"
