"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price"
"A17064-WNS0701NC03A","966","Coco Tank ""M'Otter Love""","3308","Size - S","1","79.00","34.35"
"A17064-WNS0701NC03A","966","Coco Tank ""M'Otter Love""","3309","Size - M","1","79.00","34.35"
"A17064-WNS0701NC03A","966","Coco Tank ""M'Otter Love""","3310","Size - L","1","79.00","34.35"
"A17064-WNS0701NC03A","966","Coco Tank ""M'Otter Love""","3311","Size - XL","1","79.00","34.35"
"A17065-WDR2601NC0CC","969","Kate Dress ""Forest Temple""","3052","Size - XS","1","169.00","64.50"
"A17065-WDR2601NC0CC","969","Kate Dress ""Forest Temple""","3053","Size - S","1","169.00","64.50"
"A17065-WDR2601NC0CC","969","Kate Dress ""Forest Temple""","3054","Size - M","1","169.00","64.50"
"A17065-WDR2601NC0CC","969","Kate Dress ""Forest Temple""","3055","Size - L","0","169.00","64.50"
"A17065-WDR2601NC0CC","969","Kate Dress ""Forest Temple""","3056","Size - XL","0","169.00","64.50"
"A17064-WBL0601NCO3A","977","Kimono ""M'Otter Love""","2368","Size - TU/OS","3","129.00","49.50"
"W12018-WBL0601NCODA","978","Kimono ""Early Evening Flowing into Fall""","2369","Size - TU/OS","2","129.00","49.50"
"A08013-WBL0301NC0FB","986","Frida Cardigan ""New Day""","2962","Size - XS","1","129.00","52.50"
"A08013-WBL0301NC0FB","986","Frida Cardigan ""New Day""","2963","Size - S","1","129.00","52.50"
"A08013-WBL0301NC0FB","986","Frida Cardigan ""New Day""","2964","Size - M","0","129.00","52.50"
"A08013-WBL0301NC0FB","986","Frida Cardigan ""New Day""","2965","Size - L","0","129.00","52.50"
"A08013-WBL0301NC0FB","986","Frida Cardigan ""New Day""","2966","Size - XL","0","129.00","52.50"
"A17063-WBL0301NC02A","987","Frida Cardigan ""Depth""","2967","Size - XS","1","129.00","52.50"
"A17063-WBL0301NC02A","987","Frida Cardigan ""Depth""","2968","Size - S","1","129.00","52.50"
"A17063-WBL0301NC02A","987","Frida Cardigan ""Depth""","2969","Size - M","1","129.00","52.50"
"A17063-WBL0301NC02A","987","Frida Cardigan ""Depth""","2970","Size - L","1","129.00","52.50"
"A17063-WBL0301NC02A","987","Frida Cardigan ""Depth""","2971","Size - XL","1","129.00","52.50"
"W12018-WBL0301NC0DA","988","Frida Cardigan ""Early Evening Flowing into Fall""","2972","Size - XS","0","129.00","52.50"
"W12018-WBL0301NC0DA","988","Frida Cardigan ""Early Evening Flowing into Fall""","2973","Size - S","0","129.00","52.50"
"W12018-WBL0301NC0DA","988","Frida Cardigan ""Early Evening Flowing into Fall""","2974","Size - M","1","129.00","52.50"
"W12018-WBL0301NC0DA","988","Frida Cardigan ""Early Evening Flowing into Fall""","2975","Size - L","1","129.00","52.50"
"W12018-WBL0301NC0DA","988","Frida Cardigan ""Early Evening Flowing into Fall""","2976","Size - XL","1","129.00","52.50"
"A08013-WPA0401NC0FB","990","Jackie Legging ""New Day""","3017","Size - XS","1","109.00","44.01"
"A08013-WPA0401NC0FB","990","Jackie Legging ""New Day""","3018","Size - S","0","109.00","44.01"
"A08013-WPA0401NC0FB","990","Jackie Legging ""New Day""","3019","Size - M","0","109.00","44.01"
"A08013-WPA0401NC0FB","990","Jackie Legging ""New Day""","3020","Size - L","1","109.00","44.01"
"A08013-WPA0401NC0FB","990","Jackie Legging ""New Day""","3021","Size - XL","0","109.00","44.01"
"A13041-WAC0201NC0EA","994","Vivienne Scarf ""Lapinx""","","Vivienne Scarf ""Lapinx""","4","59.00","23.00"
"W18053-WAC0201NC0JB","995","Vivienne Scarf ""Northern Masters""","","Vivienne Scarf ""Northern Masters""","3","59.00","23.00"
"W17062-WAC0201NC0GC","996","Vivienne Scarf ""Horizon""","","Vivienne Scarf ""Horizon""","3","59.00","23.00"
"A08013-WAC0201NC0FC","997","Vivienne Scarf ""New Day""","","Vivienne Scarf ""New Day""","3","59.00","23.00"
"A08011-WAC0201NC0HB","998","Vivienne Scarf ""Whisper""","","Vivienne Scarf ""Whisper""","2","59.00","23.00"
"A16059-WAC0201NC0IA","999","Vivienne Scarf ""Wisdom Keepers""","","Vivienne Scarf ""Wisdom Keepers""","2","59.00","23.00"
"A16059-WDR2601NC01B","1006","Kate Dress ""Wisdom Keepers""","3067","Size - XS","1","169.00","64.50"
"A16059-WDR2601NC01B","1006","Kate Dress ""Wisdom Keepers""","3068","Size - S","1","169.00","64.50"
"A16059-WDR2601NC01B","1006","Kate Dress ""Wisdom Keepers""","3069","Size - M","0","169.00","64.50"
"A16059-WDR2601NC01B","1006","Kate Dress ""Wisdom Keepers""","3070","Size - L","0","169.00","64.50"
"A16059-WDR2601NC01B","1006","Kate Dress ""Wisdom Keepers""","3071","Size - XL","1","169.00","64.50"
"A01028-WBL0301NC08A","1010","Frida Cardigan ""Giving Thanks""","2977","Size - XS","1","129.00","52.50"
"A01028-WBL0301NC08A","1010","Frida Cardigan ""Giving Thanks""","2978","Size - S","0","129.00","52.50"
"A01028-WBL0301NC08A","1010","Frida Cardigan ""Giving Thanks""","2979","Size - M","1","129.00","52.50"
"A01028-WBL0301NC08A","1010","Frida Cardigan ""Giving Thanks""","2980","Size - L","1","129.00","52.50"
"A01028-WBL0301NC08A","1010","Frida Cardigan ""Giving Thanks""","2981","Size - XL","0","129.00","52.50"
"A16051-WBL0301NC05A","1012","Frida Cardigan ""Northern Keepers""","2982","Size - XS","1","129.00","52.50"
"A16051-WBL0301NC05A","1012","Frida Cardigan ""Northern Keepers""","2983","Size - S","1","129.00","52.50"
"A16051-WBL0301NC05A","1012","Frida Cardigan ""Northern Keepers""","2984","Size - M","1","129.00","52.50"
"A16051-WBL0301NC05A","1012","Frida Cardigan ""Northern Keepers""","2985","Size - L","1","129.00","52.50"
"A16051-WBL0301NC05A","1012","Frida Cardigan ""Northern Keepers""","2986","Size - XL","1","129.00","52.50"
"A16058-WBL0601NCO4A","1059","Kimono ""Silent Seekers""","2867","Size - TU/OS","7","129.00","49.50"
"A17063-WLS1701NC02A","1064","Mia Turtleneck ""Depth""","2868","Size - XS","0","149.00","59.50"
"A17063-WLS1701NC02A","1064","Mia Turtleneck ""Depth""","2869","Size - S","0","149.00","59.50"
"A17063-WLS1701NC02A","1064","Mia Turtleneck ""Depth""","2870","Size - M","1","149.00","59.50"
"A17063-WLS1701NC02A","1064","Mia Turtleneck ""Depth""","2871","Size - L","1","149.00","59.50"
"A17063-WLS1701NC02A","1064","Mia Turtleneck ""Depth""","2872","Size - XL","0","149.00","59.50"
"A16058-WLS1701NC04A","1065","Mia Turtleneck ""Silent Seekers""","3262","Size - XS","1","149.00","59.50"
"A16058-WLS1701NC04A","1065","Mia Turtleneck ""Silent Seekers""","3263","Size - S","1","149.00","59.50"
"A16058-WLS1701NC04A","1065","Mia Turtleneck ""Silent Seekers""","3264","Size - M","1","149.00","59.50"
"A16058-WLS1701NC04A","1065","Mia Turtleneck ""Silent Seekers""","3265","Size - L","1","149.00","59.50"
"A16058-WLS1701NC04A","1065","Mia Turtleneck ""Silent Seekers""","3266","Size - XL","1","149.00","59.50"
"W13023-WNS0801NC0IB","2408","Kaplan Tank ""Wisdom Keepers""","6663","Size - S","1","129.00","60.00"
"W13023-WNS0801NC0IB","2408","Kaplan Tank ""Wisdom Keepers""","6664","Size - M","1","129.00","60.00"
"W13023-WNS0801NC0IB","2408","Kaplan Tank ""Wisdom Keepers""","6665","Size - L","0","129.00","60.00"
"W13023-WNS0801NC0IB","2408","Kaplan Tank ""Wisdom Keepers""","6666","Size - XL","0","129.00","60.00"
"W13023-WNS0801NC0IB","2408","Kaplan Tank ""Wisdom Keepers""","6667","Size - XS","1","129.00","60.00"
"A17064-WDR4101NC03A","2910","Michelle II Dress ""M'Otter Love""","6855","Size - S","1","159.00","67.50"
"A17064-WDR4101NC03A","2910","Michelle II Dress ""M'Otter Love""","6856","Size - M","1","159.00","67.50"
