"Reference code","Product ID","Product name","Product Combinations ID","Quantity","Pre-tax retail price","Combinations (Attribute - value pair)"
"A16059-WAC0201NC0IA","999","Vivienne Scarf ""Wisdom Keepers""","","5","59.00","Vivienne Scarf ""Wisdom Keepers"""
"A16059-WDR2601NC01B","1006","Kate Dress ""Wisdom Keepers""","3067","0","169.00","Size - XS"
"A16059-WDR2601NC01B","1006","Kate Dress ""Wisdom Keepers""","3068","1","169.00","Size - S"
"A16059-WDR2601NC01B","1006","Kate Dress ""Wisdom Keepers""","3069","1","169.00","Size - M"
"A16059-WDR2601NC01B","1006","Kate Dress ""Wisdom Keepers""","3070","3","169.00","Size - L"
"A16059-WDR2601NC01B","1006","Kate Dress ""Wisdom Keepers""","3071","3","169.00","Size - XL"
"A01028-WBL0301NC08A","1010","Frida Cardigan ""Giving Thanks""","2977","2","129.00","Size - XS"
"A01028-WBL0301NC08A","1010","Frida Cardigan ""Giving Thanks""","2978","1","129.00","Size - S"
"A01028-WBL0301NC08A","1010","Frida Cardigan ""Giving Thanks""","2979","2","129.00","Size - M"
"A01028-WBL0301NC08A","1010","Frida Cardigan ""Giving Thanks""","2980","2","129.00","Size - L"
"A01028-WBL0301NC08A","1010","Frida Cardigan ""Giving Thanks""","2981","1","129.00","Size - XL"
"A16051-WBL0301NC05A","1012","Frida Cardigan ""Northern Keepers""","2982","1","129.00","Size - XS"
"A16051-WBL0301NC05A","1012","Frida Cardigan ""Northern Keepers""","2983","1","129.00","Size - S"
"A16051-WBL0301NC05A","1012","Frida Cardigan ""Northern Keepers""","2984","1","129.00","Size - M"
"A16051-WBL0301NC05A","1012","Frida Cardigan ""Northern Keepers""","2985","1","129.00","Size - L"
"A16051-WBL0301NC05A","1012","Frida Cardigan ""Northern Keepers""","2986","1","129.00","Size - XL"
"W18053-WDR2601NC0JB","1014","Kate Dress ""Northern Masters""","3077","1","169.00","Size - XS"
"W18053-WDR2601NC0JB","1014","Kate Dress ""Northern Masters""","3078","1","169.00","Size - S"
"W18053-WDR2601NC0JB","1014","Kate Dress ""Northern Masters""","3079","0","169.00","Size - M"
"W18053-WDR2601NC0JB","1014","Kate Dress ""Northern Masters""","3080","0","169.00","Size - L"
"W18053-WDR2601NC0JB","1014","Kate Dress ""Northern Masters""","3081","0","169.00","Size - XL"
"A17063-WSK040NCO2A","1016","Alex Skirt ""Depth""","3002","0","139.00","Size - XS"
"A17063-WSK040NCO2A","1016","Alex Skirt ""Depth""","3003","0","139.00","Size - S"
"A17063-WSK040NCO2A","1016","Alex Skirt ""Depth""","3004","0","139.00","Size - M"
"A17063-WSK040NCO2A","1016","Alex Skirt ""Depth""","3005","1","139.00","Size - L"
"A17063-WSK040NCO2A","1016","Alex Skirt ""Depth""","3006","1","139.00","Size - XL"
"A16058-WBL0601NCO4A","1059","Kimono ""Silent Seekers""","2867","8","129.00","Size - TU/OS"
"A17063-WLS1701NC02A","1064","Mia Turtleneck ""Depth""","2868","1","149.00","Size - XS"
"A17063-WLS1701NC02A","1064","Mia Turtleneck ""Depth""","2869","0","149.00","Size - S"
"A17063-WLS1701NC02A","1064","Mia Turtleneck ""Depth""","2870","1","149.00","Size - M"
"A17063-WLS1701NC02A","1064","Mia Turtleneck ""Depth""","2871","0","149.00","Size - L"
"A17063-WLS1701NC02A","1064","Mia Turtleneck ""Depth""","2872","0","149.00","Size - XL"
"A16058-WLS1701NC04A","1065","Mia Turtleneck ""Silent Seekers""","3262","0","149.00","Size - XS"
"A16058-WLS1701NC04A","1065","Mia Turtleneck ""Silent Seekers""","3263","1","149.00","Size - S"
"A16058-WLS1701NC04A","1065","Mia Turtleneck ""Silent Seekers""","3264","1","149.00","Size - M"
"A16058-WLS1701NC04A","1065","Mia Turtleneck ""Silent Seekers""","3265","1","149.00","Size - L"
"A16058-WLS1701NC04A","1065","Mia Turtleneck ""Silent Seekers""","3266","1","149.00","Size - XL"
"A13041-WSS0701NC0EB","1066","Yoko Cape Tunic ""Lapinx""","3212","0","139.00","Size - XS"
"A13041-WSS0701NC0EB","1066","Yoko Cape Tunic ""Lapinx""","3213","0","139.00","Size - S"
"A13041-WSS0701NC0EB","1066","Yoko Cape Tunic ""Lapinx""","3214","1","139.00","Size - M"
